Nested Sampling Global Log-Evidence           :   -0.174608025686081373E+04  +/-    0.560595134399004061E-01
Nested Importance Sampling Global Log-Evidence:   -0.174614584700052114E+04  +/-    0.103685160193989642E+00

Dim No.       Mean        Sigma
   1    0.479791798552537563E+00    0.314752631424929513E-01
   2    0.100555795120951405E+00    0.624117735835274731E-01
   3   -0.348654754564266756E+00    0.343447233079457570E+00
   4    0.364080066254711066E+00    0.227397621470267763E+00
   5    0.363506385661157172E+00    0.755010844897276989E-01
   6    0.857713249662444555E+00    0.382814667064425435E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.482013145961564693E+00
   2    0.121184995546275806E+00
   3   -0.442341684265830148E+00
   4    0.899627672102022852E-01
   5    0.361797744959265311E+00
   6    0.854267134600862010E+00

MAP Parameters
Dim No.        Parameter
   1    0.482013145961564693E+00
   2    0.121184995546275806E+00
   3   -0.442341684265830148E+00
   4    0.899627672102022852E-01
   5    0.361797744959265311E+00
   6    0.854267134600862010E+00
