Nested Sampling Global Log-Evidence           :   -0.175266870469192963E+04  +/-    0.530045781876483380E-01
Nested Importance Sampling Global Log-Evidence:   -0.175271773080824119E+04  +/-    0.335677327393371985E-01

Dim No.       Mean        Sigma
   1    0.124576463713016405E+01    0.316645806925061613E+00
   2   -0.635827077659243279E-02    0.703567724870331115E-02
   3    0.117079212767007362E+00    0.654187146849197765E-01
   4   -0.654268510488882460E+00    0.331577820407683521E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.152111767875038795E+01
   2   -0.257384946829588256E-01
   3    0.130408713390866099E+00
   4   -0.575273589350896342E+00

MAP Parameters
Dim No.        Parameter
   1    0.152111767875038795E+01
   2   -0.257384946829588256E-01
   3    0.130408713390866099E+00
   4   -0.575273589350896342E+00
