Nested Sampling Global Log-Evidence           :   -0.178046645775925344E+04  +/-    0.119323761478627402E+00
Nested Importance Sampling Global Log-Evidence:   -0.178040462662485425E+04  +/-    0.120662785063448859E-01

Dim No.       Mean        Sigma
   1    0.999994434912979235E+00    0.254789116596452927E-03
   2    0.100620889648267564E+01    0.955267796033522701E-02
   3    0.995999048976934920E+00    0.324399379970581256E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.999987577336359013E+00
   2    0.100649469068794994E+01
   3    0.997391143486969334E+00

MAP Parameters
Dim No.        Parameter
   1    0.100021960805770060E+01
   2    0.101185250372325419E+01
   3    0.103960860051234882E+01
