Nested Sampling Global Log-Evidence           :   -0.110692698257382460E+03  +/-    0.359542017194042496E-01
Nested Importance Sampling Global Log-Evidence:   -0.110975628876220256E+03  +/-    0.164946329572093972E-01

Dim No.       Mean        Sigma
   1    0.102641111793671258E+01    0.564927483823364995E+00
   2    0.376966748810173780E+00    0.137567778211804381E+00
   3    0.169374236768081832E+00    0.118257923870383433E+00
   4    0.410029468393610583E-01    0.978090185585013594E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.680395611692124591E+00
   2    0.324972935971696186E+00
   3    0.224122897538308663E+00
   4    0.185560868316156458E+01

MAP Parameters
Dim No.        Parameter
   1    0.339046772717212397E+00
   2    0.169051448101366186E+00
   3    0.357267652960964410E+00
   4    0.664462715227888134E+00
